#  file: fsfProjectInterfaces2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.interface, pi.datasource_id 
#  FROM fsf_project_interfaces pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.interface
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	interface	datasource_id
3634	bookland	Command Line	221
3634	bookland	Web	221
5167	Bookmark4U	Web	221
3633	bookmarker	Web	221
3632	bool	Command Line	221
6114	boolball	X Window System	221
6264	booleano	Library	221
3631	boombasster	Console	221
3630	boost	Library	221
6392	boostnumericbindings	Library	221
3629	boot-up_manager	X Window System	221
3628	bootstrapper	Command Line	221
5170	BoPHP	Daemon	221
3627	bosco	Web	221
3626	bosh	Command Line	221
3625	botan	Library	221
5799	botec	Command Line	221
3624	botnet	Library	221
3623	bots	Command Line	221
3623	bots	Web	221
6415	bottle	Command Line	221
3621	bpmdj	X Window System	221
3620	bpquotes	Web	221
3619	brag	Command Line	221
5475	braillescrab	Console	221
3618	bras	Command Line	221
3617	breeze	Command Line	221
3617	breeze	Daemon	221
5166	BrickOut	X Window System	221
3616	bricolage	Web	221
3615	brikx	X Window System	221
3614	brim	Web	221
3613	brinance	Command Line	221
3612	brl	Web	221
5201	BRL-CAD	X Window System	221
3611	brltty	Daemon	221
3610	browser-history	Daemon	221
3608	bsc	Command Line	221
5200	BSFlite	Command Line	221
3607	btl	Library	221
3606	btn4ws.pl	X Window System	221
3605	bubblegum	Daemon	221
5165	BubblingLoad	X Window System	221
3604	buecherwurm	Web	221
5164	Bug-A-Boo	Web	221
3603	bugbuddy	X Window System	221
3602	bugdar	Web	221
5163	BugPort	Web	221
3601	bugs	Command Line	221
3601	bugs	Console	221
5162	BugSquish	X Window System	221
3600	bugtrack	Web	221
3599	bugzilla	Web	221
5161	BuildBot	Daemon	221
5161	BuildBot	Web	221
3598	buildtool	Command Line	221
6265	buildutils	Console	221
5160	BulkWatch	Daemon	221
5159	Bulldog	Command Line	221
5324	bunnyfuzzer	Command Line	221
3596	bup	Command Line	221
3595	burnCDDA	Command Line	221
3594	burncenter	Command Line	221
5158	Burn_360	X Window System	221
3593	busybox	Command Line	221
3592	busynode	Command Line	221
5199	BWidget	Command Line	221
5382	bwstats	Console	221
5157	Bygfoot	X Window System	221
5198	BYLD	Command Line	221
3590	bytehoard	Web	221
5156	ByteName	Command Line	221
3589	byzanz	X Window System	221
5197	BZFlag	X Window System	221
5358	bzr	Command Line	221
3587	c-ares	Library	221
5155	C-Mix	Command Line	221
3586	c2hs	Command Line	221
3585	c2html	Command Line	221
3584	c2lib	Library	221
5122	CacheIt	Command Line	221
3582	cacti	Web	221
3581	cadaver	Command Line	221
5800	Cage	Command Line	221
3580	cage	Command Line	221
3579	cairo	Library	221
6218	cajo	Daemon	221
3578	calamaris	Command Line	221
3577	calc	Command Line	221
3577	calc	Console	221
3577	calc	Library	221
5121	CalcChecksum	X Window System	221
3575	calcoo	X Window System	221
3574	calcurse	Command Line	221
3573	calendula	X Window System	221
5995	calibre	Command Line	221
5995	calibre	Console	221
5995	calibre	X Window System	221
5837	callgraph	Command Line	221
3572	calltree	Command Line	221
5416	callweaver	Console	221
3571	cals2tiff	Command Line	221
3570	camE	Daemon	221
5120	CamlTemplate	Library	221
5990	camorama	Command Line	221
3569	campcaster	Web	221
5119	Campfire	Web	221
3568	campsite	Web	221
3567	camserv	Web	221
3566	camsource	Daemon	221
5118	Candygram	Command Line	221
3565	cantus	X Window System	221
3564	caravelcms	Web	221
3563	cardfile	Command Line	221
3562	care2002	Web	221
5117	Carp-Clan	Command Line	221
5963	carrot	Command Line	221
5963	carrot	Console	221
5963	carrot	Library	221
5989	caschd	Command Line	221
5989	caschd	Console	221
5989	caschd	Daemon	221
5989	caschd	E-mail	221
5116	Caspar	Command Line	221
3561	castget	Command Line	221
3560	catase	Command Line	221
3559	catdoc	Command Line	221
3559	catdoc	X Window System	221
5495	catim	Command Line	221
3558	cats2procmailrc	Daemon	221
3557	cave	Console	221
3556	cbMySQL	Command Line	221
3555	cbrPager	X Window System	221
3554	ccache	Command Line	221
3553	ccaudio2	Library	221
3552	ccbuild	Command Line	221
3551	cce-interact	Web	221
5521	ccforum	Web	221
3550	ccl	Library	221
3549	ccollect	Command Line	221
3548	ccrtp	Command Line	221
3547	ccruncher	X Window System	221
3546	ccrypt	Command Line	221
3545	ccscript	Command Line	221
