#  file: sfRawForumPosts2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes forum post data for each project. This info 
#  is summed from the daily data for the previous 60 days. 
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, sum(forum_posts)
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#  ORDER BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  forum_posts: the sum of forum_posts for this 60-day period 
proj_unixname	sum(forum_posts)
actionmmo	0
actionpoll	0
actions	0
actions-ds	0
actions-net	0
actionscript	0
actionsdbmanage	0
actionshooter	0
actionstep	0
actis	0
activ	0
activ-porthole	0
activa	13
activator	0
active	0
active-ist	4
active-jms	0
activeagenda	0
activebliss	0
activeboard	0
activebpel	0
activedefense	0
activedirftp	0
activegem	0
activegrid	0
activehl7	0
activeim	0
activejob	0
activelife	0
activelock	0
activemap	0
activemindsys	0
activemon	0
activemsn	0
activeodma	0
activeos	0
activepassword	0
activerecord	0
activerecordnet	0
activerecordobj	0
activerender	0
activereport	0
activersion	0
activerules	0
activesetuptool	0
activesql	0
activesync	0
activeui	0
activevalid	0
activewiki	0
activewinamp	0
activewire-osx	0
activewizard	0
activex	0
activexml	0
activexmlr	0
activexp	0
activismnetwork	0
activity-logger	0
activityindicat	0
activitylog	0
activitylog-win	0
activityscript	0
activityspace	0
activitystudio	0
activitytracker	0
activscm	0
actl	0
actlabtv	0
actminer	0
acto	0
actoframework	0
actor	0
actos	0
actr-sos	0
actr-wn-lexical	0
acts	0
actsassvn	0
actualiza	0
actualizadix	0
actualizer	0
actuall	0
actwire	0
acubbill	0
acudos	0
acui-agenda	0
acuity	0
acumen	0
acumetric	0
acusto	0
acuview	0
acv	0
acweb	0
acx100	0
acy-7	0
ad-coit	0
ad-gallery	0
ad-hoc-networks	0
ad-infinitum	0
ad-system	0
ad1000	0
ad4unix	0
ad7924	0
ad9850-control	0
ada	0
ada-autoit	0
ada-connect4	0
ada-player	0
ada-spread	0
ada2gxl	0
ada95osxbinding	0
adaapter	0
adac	0
adacf	0
adacontrol	0
adadl	0
adadoc	0
adads	0
adaf	0
adafornetbeans	0
adafrom	0
adage	0
adage4	0
adagegame	0
adagen	0
adagide	0
adago	0
adai	0
adaimgsvr	0
adal	0
adalogo	0
adam	0
adam-soft	0
adam-traffic	0
adam15dosgame	0
adam3d	0
adamant	0
adambots-live	0
adamo	0
adamof	0
adams	0
adamserver	0
adamsoft	0
adamultimedia	0
adan	0
adancedremote	0
adaparse	0
adapc	0
adapdev	0
adaprojet	0
adapt	0
adaptagrams	0
adaptbb	0
adaptcms	0
adaptergen	0
adaptergenerato	0
adaptit	0
adaptive-api	0
adaptive-gcc	0
adaptive-gui	0
adaptive-ioc	0
adaptivebus	0
adaptivecacheal	0
adaptivecellsj	0
adaptiveobjectc	0
adaptivequickse	0
adaptivetrapex	0
adaptmot	0
adaptproject	0
adaptube	0
adaptweb	1
adara	0
adas	0
adasdl	0
adasl	0
adastar	0
adastra	0
adatabase	0
adatabasetable	0
adatoccpp	0
adatris	0
adaworks	0
adax	0
adayinthebay	0
adb	0
adbd	0
adbgone	0
adbi	0
adbkv1	0
adblock-rules	0
adbmanage	0
adbnewssender	0
adbsql	0
adc	0
adcalc	0
adcarouseljs	0
adcenter	0
adchnet	0
adchpp	0
adclient	0
adclock	0
adcomercial	0
adconsole	0
adcportal	0
adcviewer	0
add	0
add-alarm-clock	0
adda	0
addalink	0
addam	0
addanc	0
addbookdb	0
addheadertocs	0
addicted	0
addictionfree	0
addieland	0
addininsert	0
additionof2numb	0
addl	0
addline	0
addmaker	0
addmaster	0
addmesocialbook	0
addon-projekt	0
addonmanager	0
addrbook	0
address	0
address-ldap	0
address-util	0
address550	0
affb	0
affiliates	0
affiliatetrends	0
affiliatewv	0
affilihost	0
affinitychanger	0
affinityhtml	0
affinityos	0
affirmator	0
affisix	0
affix	0
afflib	0
affmarket	0
affogato	0
affs	0
affy	0
afg100	0
afhcontrolpanel	0
afhub	0
afi	0
afick	0
afid	0
afight	0
afinder	0
afjp2-compiler	0
afkap	0
afkcfg	0
afketsen	0
aflegend	0
aflog	0
afly	0
afm	0
afm2	0
afms	0
afner	0
afnl	0
aforge	0
aforms	0
afortunes	0
aforum	0
afoto	0
afp	0
afp-renderer	0
afpc	0
afpdns	0
afpedit	0
afpfontviewer	0
afpfs-ng	0
afphpclasslib	0
afr	0
afr-bd	0
afrainframework	0
afram	0
aframe	0
afrang	0
afri	0
africa	0
afrikaans	0
afsmanager	0
afsproject	0
afstcdb	0
aft	0
aftech	0
aften	0
after7-thclass	0
afterburner	0
afterearth	0
afterglow	0
afterircd	0
afterlife	0
afterlogicwebma	0
aftermath	0
aftermath-wars	0
aftermathmud	0
aftermathrpg	0
aftermaze	0
aftermoon	0
afternetdotorg	0
afternowmud	0
aftershock	0
afterstep	0
aftertex	0
aftertheauction	0
afterthought	0
aftertime	0
afterwaterwars	0
aftokinito	0
aftp	0
afts	0
afuc	0
afunct-ta0kira	0
afupdevphp	0
afuse	0
afw	0
afw-jack	0
afwtabletags	0
afx	0
afyadigitalradi	0
ag-cling	0
ag-x-feed	0
ag2map	0
agal	0
agar	0
agaressecurity	0
agartha	0
agata	0
agatareport	0
agatca	0
agatemulator	0
agateruletester	0
agatha	0
agatha-pbr	0
agathaproject	0
agathe	0
agave	0
agbe	0
agc	0
agc-emu	0
agcnodes	0
agcontrol	0
agcp	0
agcs	0
agcsp	0
agctf	0
agd	0
agda	0
agdb	0
agder	0
agdersoftcms	0
age	0
age-osgi	0
age-thing	0
ageaventure	0
agedisplay	0
ageevaframework	0
agel	0
ageless	0
agelib	0
agemail	0
agena	0
agenciaviaje	0
agency-plan	0
agency4net-wftp	0
agencydb	0
agenda	0
agenda-01	0
agenda-ja	0
agenda-livre	0
agenda-manager	0
agenda-snow	0
agenda4desktop	0
agendac	0
agendaclientes	0
agendahelp	0
agendaisin	0
agendajava	0
agendalivre	0
agendami	0
agendaonline	0
agendaphp	0
agendatimemngr	0
