#  file: owProjDesc2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, description, date_collected, datasource_id
#  FROM ow_project_description
#  WHERE datasource_id=220
#  ORDER BY proj_unixname
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	description	date_collected	datasource_id
spagobi	SpagoBI is a Business Intelligence Free Platform which uses many FOSS tools as analytical engines, integrating them in an infrastructure which offers a cross-operativeness and a consistent vision between Report,OLAP,Data Mining,Dashboard and over the DWH	2010-05-03 15:36:38	220
starwebservice	StarWebService is an independent platform for developing, deploying, managing and running Web Services.	2010-05-03 15:36:38	220
stock-online	Stock-Online is the CSIRO application used to stress middleware performance and scalability. This open-source version is implemented in EJB 1.1, and provides two alternative design choices (Session bean + JDBC, and Session bean + CMP Entity beans).	2010-05-03 15:36:38	220
surf	SURF (Fault Tolerance by Replication with Universal Services) is a Java library replication service for arbitrary deterministic objects. In crash situations objects can still be accessed with replication transparent to the application developer.	2010-05-03 15:36:38	220
tess	TESS (Timestamped Event Stream System) is a framework designed to easily build complex event stream processing. CRS (Chronicle Recognition System) deploys a TESS processing architecture which implements a correlation rule engine from a set of chronicles.	2010-05-03 15:36:38	220
think	THINK is a software framework for building component-based system kernels. As an implementation of the Fractal model, it clearly separates architectural from functional apects, provides flexibility, encourages code re-use and reduces development time.	2010-05-03 15:36:38	220
tox	This project has not yet submitted a description.	2010-05-03 15:36:38	220
ubistar	Ubistar Project is a platform which support the development of the pervasive computing applications.	2010-05-03 15:36:38	220
wcms	This project has not yet submitted a description.	2010-05-03 15:36:38	220
wildcat	WildCAT is a Java toolkit/framework to make applications context-aware. It provides a simple and dynamic data model to represent the execution context of the application, which can be accessed both synchronously and asynchronously (pull and push).	2010-05-03 15:36:38	220
wsunit	WSUnit is a tool that can help you test Web Services. It provides a predictable and repeatable simulation of a Web Service that is ideal for unit testing.	2010-05-03 15:36:38	220
xmlc	Enhydra XMLC radically simplifies web development by cleanly separating presentation from code.	2010-05-03 15:36:38	220
xplus	xPlus is a implementation of the persistence provider of Enterprise Java Beans 3.0, also known as the Java Persistence API (JPA). It can be used as a stand-alone POJO persistence layer, or it can be integrated into any EJB3.0 compliant container.	2010-05-03 15:36:38	220
xquare	The XQuare project provides a set of Java components for extending J2EE platforms with XML-based, heterogeneous information integration capabilities, using the XQuery language	2010-05-03 15:36:38	220
xservice	XService suite, which is powered by ACT (The Institute of Advanced Computing Technology), Beihang University, Beijing, China, is a suite focus on xml and web service and provide fundamental element to enable service oriented architecture(SOA).	2010-05-03 15:36:38	220
xwiki	XWiki is a second-generation wiki. See http://xwiki.org for all details.	2010-05-03 15:36:38	220
zeus	Open source Java-to-XML Data Binding tool.	2010-05-03 15:36:38	220
