#  file: sfRawDonorsData2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseHtmlDonorsSF.pl
#
#  This particular file includes raw "Donors" data for each project 
#  that shows this info on their SF project pages. (Not every project lists this 
#  information.)
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  SELECT * FROM `project_donors` WHERE datasource_id=172
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  donor_id: the donor's name (PK)
#  date_collected: this is the date the data was inserted
#  datasource_id: when was this data gathered, and on which run? (PK)
proj_unixname	donor_id	datasource_id	date_collected
bluetooth-alsa	chengfu	172	2009-06-11 22:14:25
bluez	zed_0xff	172	2009-06-11 22:14:26
bluezync	freddyw	172	2009-06-11 22:14:26
blw	o3nsmash	172	2009-06-11 22:14:26
bnbteasytracker	Anonymous donor(s)	172	2009-06-11 22:14:27
bnirc	Anonymous donor(s)	172	2009-06-11 22:14:27
bol	Anonymous donor(s)	172	2009-06-11 22:14:29
bom	octan3	172	2009-06-11 22:14:30
bom	haipe	172	2009-06-11 22:14:30
bom	ebaer1702	172	2009-06-11 22:14:30
bom	normalburger1	172	2009-06-11 22:14:30
bom	michael_baer	172	2009-06-11 22:14:30
bonkenc	Anonymous donor(s)	172	2009-06-11 22:14:30
bonkenc	egg2213	172	2009-06-11 22:14:30
bonkenc	claass	172	2009-06-11 22:14:30
bonkenc	thorcarlson	172	2009-06-11 22:14:30
booby	Anonymous donor(s)	172	2009-06-11 22:14:31
books-macosx	josefsalyer	172	2009-06-11 22:14:31
books-macosx	Anonymous donor(s)	172	2009-06-11 22:14:31
boomerang	Anonymous donor(s)	172	2009-06-11 22:14:32
boomerang	svansa	172	2009-06-11 22:14:32
bouml	msorc	172	2009-06-11 22:14:35
bouml	nicolassauvaget	172	2009-06-11 22:14:35
bouml	lollisoft	172	2009-06-11 22:14:35
box2d	puelo	172	2009-06-11 22:14:35
box2d	skatc	172	2009-06-11 22:14:35
box2d	cpoizat	172	2009-06-11 22:14:35
box2dflash	skatc	172	2009-06-11 22:14:35
brainworkshop	sudoit	172	2009-06-11 22:14:37
bricksmith	jimmod75	172	2009-06-11 22:14:39
bricksmith	Anonymous donor(s)	172	2009-06-11 22:14:39
brim	jyvais	172	2009-06-11 22:14:40
brutalchess	Anonymous donor(s)	172	2009-06-11 22:14:41
bt747	cdgmol	172	2009-06-11 22:14:42
btanks	lazylegs	172	2009-06-11 22:14:42
btanks	Anonymous donor(s)	172	2009-06-11 22:14:42
btnet	romwil	172	2009-06-11 22:14:44
btnet	andrewmckay583	172	2009-06-11 22:14:44
btnet	benpeterson24	172	2009-06-11 22:14:44
btnet	matro	172	2009-06-11 22:14:44
btnet	peterh226	172	2009-06-11 22:14:44
btwincap	Anonymous donor(s)	172	2009-06-11 22:14:44
buddi	limer	172	2009-06-11 22:14:45
buddi	miguelcampana	172	2009-06-11 22:14:45
buddi	carey2	172	2009-06-11 22:14:45
buddi	dottiepotter	172	2009-06-11 22:14:45
buddi	tom_allen	172	2009-06-11 22:14:45
bugnet	retznutz	172	2009-06-11 22:14:46
bugnet	Anonymous donor(s)	172	2009-06-11 22:14:46
burn-osx	edelsont	172	2009-06-11 22:14:47
burn-osx	socapex_2k	172	2009-06-11 22:14:47
burn-osx	ksuzuka	172	2009-06-11 22:14:47
burn-osx	goroshko	172	2009-06-11 22:14:47
burn-osx	tiemme	172	2009-06-11 22:14:47
burst	cabincrekezeke	172	2009-06-11 22:14:49
burst	sethness	172	2009-06-11 22:14:49
burst	Anonymous donor(s)	172	2009-06-11 22:14:49
burst-plus	Anonymous donor(s)	172	2009-06-11 22:14:49
busybox	mdanielski	172	2009-06-11 22:14:49
busybox	olsonware	172	2009-06-11 22:14:49
butterflymp3	Anonymous donor(s)	172	2009-06-11 22:14:49
bwgburn	Anonymous donor(s)	172	2009-06-11 22:14:50
bytehoard	Anonymous donor(s)	172	2009-06-11 22:14:51
c-cramp	Anonymous donor(s)	172	2009-06-11 22:14:51
c2h	Anonymous donor(s)	172	2009-06-11 22:14:52
cagi	Anonymous donor(s)	172	2009-06-11 22:14:55
calendarx	Anonymous donor(s)	172	2009-06-11 22:14:57
camelbones	Anonymous donor(s)	172	2009-06-11 22:14:59
camelbones	seattlesparks	172	2009-06-11 22:14:59
camelbones	aclaughan	172	2009-06-11 22:14:59
camelbones	emazep	172	2009-06-11 22:14:59
camelbones	rclaytonconner	172	2009-06-11 22:14:59
can	seocompany	172	2009-06-11 22:15:00
candycrisis	potrzebie	172	2009-06-11 22:15:00
candycrisis	ikrieg	172	2009-06-11 22:15:00
candycrisis	Anonymous donor(s)	172	2009-06-11 22:15:00
canny	tnagao	172	2009-06-11 22:15:00
cantera	mschaffer	172	2009-06-11 22:15:00
car-companion	smentzer	172	2009-06-11 22:15:01
car-companion	wexx	172	2009-06-11 22:15:01
car-companion	Anonymous donor(s)	172	2009-06-11 22:15:01
cast-control	Anonymous donor(s)	172	2009-06-11 22:15:05
cctiddly	hansnl	172	2009-06-11 22:15:10
cctiddly	Anonymous donor(s)	172	2009-06-11 22:15:10
ccwakka	Anonymous donor(s)	172	2009-06-11 22:15:11
cdcover	Anonymous donor(s)	172	2009-06-11 22:15:11
cdrom-lock	Anonymous donor(s)	172	2009-06-11 22:15:12
cedet	vurte	172	2009-06-11 22:15:14
cedet	martinslouf	172	2009-06-11 22:15:14
cedet	Anonymous donor(s)	172	2009-06-11 22:15:14
cerebrus-fp6	Anonymous donor(s)	172	2009-06-11 22:15:16
cewolf	cafob	172	2009-06-11 22:15:17
cewolf	bpascal	172	2009-06-11 22:15:17
ch2r	Anonymous donor(s)	172	2009-06-11 22:15:20
chan-capi	Anonymous donor(s)	172	2009-06-11 22:15:20
chan-sccp	Anonymous donor(s)	172	2009-06-11 22:15:20
chatsniff	Anonymous donor(s)	172	2009-06-11 22:15:23
checkgmail	Anonymous donor(s)	172	2009-06-11 22:15:24
checkgmail	vgrisham	172	2009-06-11 22:15:24
checkgmail	dclozier	172	2009-06-11 22:15:24
chiba	ilangocal	172	2009-06-11 22:15:26
chicken-export	wsh1979	172	2009-06-11 22:15:26
chmox	Anonymous donor(s)	172	2009-06-11 22:15:28
chmox	grmueller	172	2009-06-11 22:15:28
chmox	rptb1	172	2009-06-11 22:15:28
chocolate-doom	mikeshere	172	2009-06-11 22:15:29
chronosxp	Anonymous donor(s)	172	2009-06-11 22:15:30
chsdet	louiskessler	172	2009-06-11 22:15:30
chungles	lubelski	172	2009-06-11 22:15:30
cimg	Anonymous donor(s)	172	2009-06-11 22:15:31
cimg	akabla	172	2009-06-11 22:15:31
ciphsafe	jidaikobo	172	2009-06-11 22:15:32
ciphsafe	Anonymous donor(s)	172	2009-06-11 22:15:32
cl-net-snmp	yedingding	172	2009-06-11 22:15:35
clamwin	louis-stahl	172	2009-06-11 22:15:35
clamwin	mdmoyer	172	2009-06-11 22:15:35
clamwin	jahaziel	172	2009-06-11 22:15:35
clamwin	mangecelle	172	2009-06-11 22:15:35
clamwin	bompieno	172	2009-06-11 22:15:35
clansphere	funk3r	172	2009-06-11 22:15:36
clansphere	thodde26	172	2009-06-11 22:15:36
