#  file: fmRawProjectStats2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
341	applixwareperlapi\n    	1.0\n    	NULL	NULL	18.3\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
345	april\n    	1.85\n    	NULL	NULL	43.36\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
347	aps\n    	3.09\n    	NULL	NULL	135.32\n    	NULL	NULL	2\n    	2\n    	NULL	11\n    
348	apsr\n    	7.22\n    	NULL	NULL	147.39\n    	NULL	NULL	2\n    	2\n    	NULL	24\n    
349	apsfilter\n    	4.76\n    	NULL	NULL	154.25\n    	NULL	NULL	4\n    	4\n    	NULL	20\n    
353	apt-proxy\n    	3.93\n    	NULL	NULL	190.93\n    	NULL	NULL	2\n    	2\n    	NULL	10\n    
356	aquarium\n    	5.18\n    	NULL	NULL	133.77\n    	NULL	NULL	0\n    	0\n    	NULL	14\n    
357	arabeske\n    	6.11\n    	NULL	NULL	160.54\n    	NULL	NULL	1\n    	1\n    	NULL	33\n    
358	arachnebrowser\n    	0.0\n    	NULL	NULL	84.81\n    	NULL	NULL	5\n    	6\n    	NULL	7\n    
359	arad-onetable-editor\n    	1.0\n    	NULL	NULL	52.29\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
360	arc\n    	1.0\n    	NULL	NULL	60.84\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
362	arcem\n    	2.1\n    	NULL	NULL	94.59\n    	NULL	NULL	1\n    	1\n    	NULL	3\n    
364	archivezip\n    	1.43\n    	NULL	NULL	42.74\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
367	argante\n    	1.43\n    	NULL	NULL	29.88\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
368	argouml\n    	17.77\n    	NULL	NULL	730.22\n    	NULL	NULL	22\n    	23\n    	NULL	180\n    
369	argtable\n    	8.34\n    	NULL	NULL	314.39\n    	NULL	NULL	0\n    	0\n    	NULL	46\n    
372	arisyahooclient\n    	4.13\n    	NULL	NULL	55.86\n    	NULL	NULL	2\n    	2\n    	NULL	3\n    
