#  file: sfRawDownloads2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes downloads data for each project. This info 
#  is summed from the daily download data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT proj_unixname, sum(downloads) 
#  FROM `project_statistics_60` 
#  WHERE datasource_id=172
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  downloads: the sum of downloads for this 60-day period 
proj_unixname	sum(downloads)
agateruletester	0
agatha	0
agatha-pbr	0
agathaproject	0
agathe	0
agave	0
agbe	0
agc	0
agc-emu	0
agcnodes	0
agcontrol	0
agcp	0
agcs	0
agcsp	0
agctf	0
agd	0
agda	0
agdb	0
agder	0
agdersoftcms	0
age	0
age-osgi	0
age-thing	0
ageaventure	0
agedisplay	0
ageevaframework	0
agel	0
ageless	0
agelib	0
agemail	0
agena	0
agenciaviaje	0
agency-plan	0
agency4net-wftp	0
agencydb	0
agenda	0
agenda-01	0
agenda-ja	0
agenda-livre	0
agenda-manager	0
agenda-snow	0
agenda4desktop	0
agendac	0
agendaclientes	0
agendahelp	0
agendaisin	0
agendajava	0
agendalivre	0
agendami	0
agendaonline	0
agendaphp	0
agendatimemngr	0
agendaware	0
agendaxml	0
agenedb	0
agengine	0
agent	0
agent-orange	0
agent-see	0
agent-sg	0
agent007	0
agent450	0
agentacademy	0
agentapi	0
agentartworld	0
agentbak	0
agentbeats	0
agentcell	0
agentdynamics	0
agentejade	0
agentemail	0
agentfactory	0
agentfarms	0
agentgrid	0
agentgridrepast	0
agentlight	0
agentools	0
agentopia	0
agentowl	0
agentq	0
agentq4	0
agentserver	0
agentspace	0
agenttakanawa	0
agenttrafficsim	0
agentvanguard	0
agentx4j	0
agenziaviaggi	0
ageofeternity	0
ageofreedom	0
ageofwar	0
ageosgi	0
agepabase	0
agere	0
ages	0
agesoflore	0
agest	0
agex	0
agfe	0
agfg	0
agfupx	0
agg	0
agg-sharp	0
aggclustering	0
aggctl	0
agge	0
aggen	0
aggersapi	0
aggie	0
aggilus	0
aggomail	0
aggoo	0
aggpas	0
aggregate	0
aggregated4	0
aggregatehd	0
aggregator	0
aggregator2	0
aggrevator	0
aghermann	0
aghparser	0
agi	0
agi-audiotx	0
agi-flash	0
agile-in-one	0
agile-team-tool	0
agile-verif	0
agile2d	0
agilebracket	0
agiledbtools	0
agileevoting	0
agilefant	0
agileflow	0
agilegis	0
agilegrid	0
agilejavalesson	0
agilejsf	0
agilelib	0
agilepeg	0
agilepipe	0
agileplanner	0
agileplannereu	0
agileplex	0
agileportman	0
agilercp	0
agilesourcesafe	0
agilesql	0
agilestudio	0
agiletoolkit	0
agiletrack	0
agilewidgets	0
agilewiki	0
agileworkbench	0
agilia	0
agilifier	0
agilinator	0
agiliplan	0
agilis	0
agility	0
agility4j	0
agilitybook	0
agilpro	0
agiltestlist	0
aginetmon	0
aginstaller	0
agio	0
agis	0
agisim	0
agistudio	0
agitator	0
agiterm	0
agito	0
agix	0
agl-lib	0
agla	0
aglaiaagency	0
aglat	0
agle	0
aglelibrary	0
aglets	0
agletsnet	0
aglezdb	0
aglf	0
aglibrogenealog	0
aglobe	0
aglp	0
aglyph	0
agmail	0
agmanager	0
agmelt	0
agmlproject	0
agnathan	0
agnax	0
agnes	0
agnet	0
agnitio	0
agnix	0
agnomaly	0
agnostos	0
agnustic	0
agnux	0
agnx80211driver	0
ago-browser	0
agoban	0
agoko	0
agon	0
agon-cosmos	0
agora	0
agora-community	0
agora-framework	0
agoracart	0
agorae	0
agorapucp	0
agorawm	0
agorisk	0
agoroid	0
agorumcore	0
agos	0
agot	0
agow	0
agpiloto	0
agportal	0
agqt	0
agr	0
agragator	0
agranger	0
agre	0
agreements	0
agreeyanasbox	0
agricolae	0
agrifriend	0
agrinux	0
agriope	0
agroma	0
agronom	0
agrovoct	0
agrub	0
agrumelaire	0
agruta	0
ags	0
agschema	0
agscumm	0
agsession	0
agslides	0
agsm	0
agt	0
agtk	0
agtoys	0
agtrac	0
agtrainer	0
agts	0
agu	0
aguayfuego	0
aguestbook	0
agui	0
aguita	0
agup	0
agushka	0
agutur	0
agv	0
agvcr	0
agvsimulation	0
agx-ast-addons	0
agxp	0
ah-card-game	0
ah-tty	0
ah7	0
aha-project	0
ahaaps	0
ahahdegradable	0
ahambr	0
ahat	0
ahcitool	0
ahcp	0
ahds	0
ahextntemplate	0
ahf	0
ahh	0
ahi4dwave	0
ahk	0
ahm	0
ahmeba	0
ahmhie	0
ahn	0
ahn-backup	0
ahnen	0
ahnmini-publish	0
ahorcado	0
ahote	0
ahoy	0
ahpag	0
ahrg	0
ahs	0
ahscs	0
ahsm-for-x70	0
ahsmapper	0
ahts	0
ahttpd	0
ahttplib	0
ahwac	0
ahwaz	0
ai-ant-sim	0
ai-crm	0
ai-engine	0
ai-erp	0
